WKT;ID_DATA;ID_AREA;OBJETO;NOMBRE;ETAPA;AÑO;CALLE_A;ALTURA_DES;ALTURA_HAS;DIRECCIONN;CALLE;ALTURA;GEOCODIFIC;BARRIO;COMUNA;CODIGO_POS;CODIGO_P_1
MULTILINESTRING ((-58.3799471301116 -34.6422263434488,-58.379588028564 -34.641990880676,-58.378361801979 -34.6411867743938,-58.3770896168755 -34.6403525520769,-58.3766380409216 -34.6400564132207,-58.3763581681183 -34.6398728736195,-58.3758409588184 -34.6395336857487,-58.3756527156205 -34.639405563045,-58.3745800969684 -34.6386755007129));49;58;SENDERO SEGURO;BARRACAS I;V;2010;AV. SUAREZ;1700;2000;SUAREZ 1700;SUAREZ;1700;POINT(108145.389722 98948.0400892);BARRACAS;COMUNA 4;1288;C1288AEJ
MULTILINESTRING ((-58.4030463412726 -34.5929087237747,-58.40361345242 -34.5940778483423,-58.4041767556292 -34.5952347846596,-58.4045826561074 -34.5960739549252,-58.4051776664175 -34.5972328028365));50;59;SENDERO SEGURO;MONS. M. DE ANDREA;V;2010;ECUADOR;1000;1400;ECUADOR 1000;ECUADOR;1000;POINT(105286.234563 103454.901053);BALVANERA;COMUNA 3;1214;C1214ACP
MULTILINESTRING ((-58.4051776664175 -34.5972328028365,-58.4065068282 -34.5970025681595,-58.407366388157 -34.596636115773,-58.4084545908187 -34.59616376913));51;60;SENDERO SEGURO;MONS. M. DE ANDREA;V;2010;PARAGUAY;2600;2800;PARAGUAY 2600;PARAGUAY;2600;POINT(105339.201018 103546.795754);RECOLETA;COMUNA 2;1425;C1425BRB
MULTILINESTRING ((-58.4084545908187 -34.59616376913,-58.4078697717822 -34.5949902930953,-58.4072655505271 -34.5935629924578,-58.4060817091819 -34.592571424072,-58.4050989927959 -34.5917761440915));52;61;SENDERO SEGURO;MONS. M. DE ANDREA;V;2010;LAPRIDA;1100;1400;LAPRIDA 1100;LAPRIDA;1100;POINT(105021.506961 103664.11697);RECOLETA;COMUNA 2;1425;C1425EKB
MULTILINESTRING ((-58.4050989927959 -34.5917761440915,-58.4041695506589 -34.5925150972201,-58.4030463412726 -34.5929087237747));53;62;SENDERO SEGURO;MONS. M. DE ANDREA;V;2010;ARENALES;2600;2700;ARENALES 2600;ARENALES;2600;POINT(105539.342687 104022.091622);RECOLETA;COMUNA 2;1425;C1425BEB
MULTILINESTRING ((-58.4080382239602 -34.5861491723183,-58.4099320877053 -34.5855537140883,-58.4109636841051 -34.5852037894139));54;63;SENDERO SEGURO;PARQUE LAS HERAS;V;2010;JUNCAL;3100;3200;JUNCAL 3100;JUNCAL;3100;POINT(105047.901191 104727.299015);RECOLETA;COMUNA 2;1425;C1425AYN
MULTILINESTRING ((-58.4109636841051 -34.5852037894139,-58.4106531504821 -34.583942479252,-58.4103504401996 -34.5827128628407,-58.41018886833 -34.5822367175412));55;64;SENDERO SEGURO;PARQUE LAS HERAS;V;2010;JERONIMO SALGUERO;2300;2400;SALGUERO, JERONIMO 2300;SALGUERO, JERONIMO;2300;POINT(104790.184976 104883.916465);PALERMO;COMUNA 14;1425;C1425DET
MULTILINESTRING ((-58.5041959117623 -34.5728052116748,-58.5029945821657 -34.5735179684873,-58.502946747854 -34.5735492532063,-58.5022834843721 -34.5740611115876,-58.5017355389983 -34.5744839116381,-58.5014756928578 -34.5746844959261,-58.5006924033113 -34.5752920919199,-58.5001508266186 -34.575712770029,-58.4996569088552 -34.5760968100238));56;65;SENDERO SEGURO;VILLA PUEYRREDON;V;2010;AV. DE LOS CONSTITUYENTES;5400;5800;DE LOS CONSTITUYENTES AV. 5400;DE LOS CONSTITUYENTES AV.;5400;POINT(96666.745719 105885.875289);VILLA PUEYRREDON;COMUNA 12;1431;C1431EZR
MULTILINESTRING ((-58.5065456473399 -34.5756138757949,-58.5059169677774 -34.576309199753,-58.5052655568309 -34.5770295293776,-58.504611922137 -34.5777523915261,-58.5038036494065 -34.5786461544742));57;67;SENDERO SEGURO;VILLA PUEYRREDON;V;2010;BOLIVIA;5400;5700;ESTADO PLURINACIONAL DE BOLIVIA 5400;ESTADO PLURINACIONAL DE BOLIVIA;5400;POINT(96290.1787822 105600.490046);VILLA PUEYRREDON;COMUNA 12;1419;C1419DVD
MULTILINESTRING ((-58.505390743633 -34.5749513515048,-58.504789308731 -34.5756125925675,-58.5041367015308 -34.5763330575151,-58.503484593701 -34.5770530257472,-58.5026747831695 -34.5779470635402,-58.5020145654306 -34.5786759704287));58;68;SENDERO SEGURO;VILLA PUEYRREDON;V;2010;GRAL. EVARISTO ARTIGAS;5300;5700;ARTIGAS, JOSE GERVASIO, GRAL. 5300;ARTIGAS, JOSE GERVASIO, GRAL.;5300;POINT(96449.8378948 105600.471348);VILLA PUEYRREDON;COMUNA 12;1419;C1419EED
MULTILINESTRING ((-58.5042461856298 -34.5742567352759,-58.5036557911617 -34.5749109062058,-58.5030003701929 -34.5756319295106,-58.5023474058184 -34.576350272248,-58.5015397182431 -34.5772436680962,-58.500880858639 -34.5779729206332));59;69;SENDERO SEGURO;VILLA PUEYRREDON;V;2010;ZAMUDIO;5300;5700;ZAMUDIO 5300;ZAMUDIO;5300;POINT(96554.7690343 105679.215719);VILLA PUEYRREDON;COMUNA 12;1419;C1419EHF
MULTILINESTRING ((-58.5020145654306 -34.5786759704287,-58.500880858639 -34.5779729206332,-58.4997457229673 -34.5772687338456));60;73;SENDERO SEGURO;VILLA PUEYRREDON;V;2010;FRANCO;2300;2400;FRANCO 2300;FRANCO;2300;POINT(96669.477059 105773.448944);VILLA PUEYRREDON;COMUNA 12;1419;C1419FHB
MULTILINESTRING ((-58.5004057795969 -34.5765408954905,-58.4997457229673 -34.5772687338456));61;74;SENDERO SEGURO;VILLA PUEYRREDON;V;2010;CARACAS;5300;NA;CARACAS 5300;CARACAS;5300;POINT(96658.8933296 105757.365313);VILLA PUEYRREDON;COMUNA 12;1419;C1419ELF
MULTILINESTRING ((-58.3999308628127 -34.5850253673738,-58.399113769375 -34.5857625095029,-58.3982434884208 -34.5865471551136,-58.3972871234896 -34.5874092866259,-58.3972155519222 -34.5874615742895,-58.396517001776 -34.5880236143989,-58.3958578952087 -34.5885538398035));62;75;SENDERO SEGURO;BIBLIOTECA NACIONAL;V;2011;AV. GENERAL LAS HERAS;2200;2500;LAS HERAS GENERAL AV. 2200;LAS HERAS GENERAL AV.;2200;POINT(106192.291639 104497.005566);RECOLETA;COMUNA 2;1127;C1127AAQ
MULTILINESTRING ((-58.3958578952087 -34.5885538398035,-58.3966239062007 -34.5894871815039,-58.3974352073518 -34.5905694216391,-58.3981025511006 -34.5915071377594,-58.3987422774021 -34.592497584179));63;76;SENDERO SEGURO;BIBLIOTECA NACIONAL;V;2011;AZCUENAGA;1400;1700;AZCUENAGA 1400;AZCUENAGA;1400;POINT(105913.968714 104069.666469);RECOLETA;COMUNA 2;1115;C1115AAL
MULTILINESTRING ((-58.3987422774021 -34.592497584179,-58.3999587434338 -34.5920019989243,-58.4010325105609 -34.5915634444034,-58.4024227374833 -34.5909800313705,-58.403264076544 -34.5903535526893,-58.4043187705314 -34.5895668828382,-58.4052306791911 -34.5888891195732));64;77;SENDERO SEGURO;BIBLIOTECA NACIONAL;V;2011;JUNCAL;2200;2700;JUNCAL 2200;JUNCAL;2200;POINT(105930.33762 104070.009699);RECOLETA;COMUNA 2;1125;C1125ABB
MULTILINESTRING ((-58.4052306791911 -34.5888891195732,-58.4040544116892 -34.5880333848972,-58.4029804729047 -34.5872502270234,-58.4019086822124 -34.5864683283363,-58.4011773432549 -34.5859347008754,-58.3999308628127 -34.5850253673738));65;78;SENDERO SEGURO;BIBLIOTECA NACIONAL;V;2011;AUSTRIA;2000;2400;AUSTRIA 2000;AUSTRIA;2000;POINT(105315.985537 104475.224936);RECOLETA;COMUNA 2;1425;C1425EGF
MULTILINESTRING ((-58.4032549626568 -34.5903603391624,-58.4050989927959 -34.5917761440915));66;79;SENDERO SEGURO;BIBLIOTECA NACIONAL;V;2011;LAPRIDA;1500;1600;LAPRIDA 1500;LAPRIDA;1500;POINT(105328.556982 104153.852867);RECOLETA;COMUNA 2;1425;C1425EKJ
MULTILINESTRING ((-58.4024227374833 -34.5909800313705,-58.4030463412726 -34.5929087237747));67;80;SENDERO SEGURO;BIBLIOTECA NACIONAL;V;2011;ECUADOR;1500;1600;ECUADOR 1500;ECUADOR;1500;POINT(105519.741714 104023.878675);RECOLETA;COMUNA 2;1425;C1425EUH
MULTILINESTRING ((-58.4758472257123 -34.5671582841675,-58.4761901838345 -34.5668491487193,-58.477177505783 -34.5659677293717,-58.4781481239549 -34.5651028540542,-58.4791182964409 -34.5642383230878,-58.4793119370044 -34.5640658244774));68;83;SENDERO SEGURO;COGHLAN;V;2011;TRONADOR;2500;2800;TRONADOR 2500;TRONADOR;2500;POINT(98911.2906846 106814.227582);VILLA URQUIZA;COMUNA 12;1430;C1430DKT
MULTILINESTRING ((-58.4771850437958 -34.5659642413909,-58.4780098639881 -34.5664720161482,-58.4789220979564 -34.5670250211442));69;84;SENDERO SEGURO;COGHLAN;V;2011;DR. PEDRO I. RIVERA;4000;4100;RIVERA, PEDRO I., DR. 4000;RIVERA, PEDRO I., DR.;4000;POINT(98743.6060551 107028.512366);COGHLAN;COMUNA 12;1430;C1430BFB
MULTILINESTRING ((-58.4780098639881 -34.5664720161482,-58.4788475709797 -34.5655270075678,-58.4796850036678 -34.5645822044105,-58.4799003447697 -34.5643720945603));70;85;SENDERO SEGURO;COGHLAN;V;2011;PLAZA;2700;2900;PLAZA 2700;PLAZA;2700;POINT(98652.8624305 106955.53162);VILLA URQUIZA;COMUNA 12;1430;C1430DHB
MULTILINESTRING ((-58.4292190258233 -34.6152573682969,-58.4290705015754 -34.6151671129493,-58.4288593667856 -34.6151041134644,-58.428428761923 -34.6150823538695,-58.4275467859868 -34.6150447072157,-58.4274398247404 -34.6149751668166,-58.4259678853787 -34.6149009270547,-58.424566222644 -34.6148317621246,-58.4230556145034 -34.6147588836336,-58.4216307905392 -34.6146820011178,-58.4203150726381 -34.6146156515492,-58.4188494039742 -34.6143248231404,-58.4186504420517 -34.6142768624219));74;90;SENDERO SEGURO;ALMAGRO I;V;2011;AV. HIPOLITO YRIGOYEN;3700;4400;YRIGOYEN, HIPOLITO AV. 3700;YRIGOYEN, HIPOLITO AV.;3700;POINT(104103.364341 101657.529005);ALMAGRO;COMUNA 5;1208;C1208ABQ
MULTILINESTRING ((-58.4203344206505 -34.6146145835942,-58.4203039047352 -34.6148221156421,-58.4200802020597 -34.6158436939234));75;91;SENDERO SEGURO;ALMAGRO I;V;2011;CASTRO BARROS;200;NA;CASTRO BARROS AV. 200;CASTRO BARROS AV.;200;POINT(103945.020899 101635.991106);ALMAGRO;COMUNA 5;1178;C1178AAD
MULTILINESTRING ((-58.4200802020597 -34.6158436939234,-58.4184713544907 -34.6157848797502));76;92;SENDERO SEGURO;ALMAGRO I;V;2011;AV. BELGRANO;3700;NA;BELGRANO AV. 3700;BELGRANO AV.;3700;POINT(104129.037675 101487.884599);ALMAGRO;COMUNA 5;1210;C1210AAR
MULTILINESTRING ((-58.4215830498293 -34.6157957572556,-58.4216307905392 -34.6146820011178,-58.4219418446753 -34.6135339655738,-58.421986634446 -34.6133922852801,-58.4224026178091 -34.6120757560471));77;93;SENDERO SEGURO;ALMAGRO I;V;2011;YAPEYU;1;200;YAPEYU 1;YAPEYU;1;POINT(103749.007523 101895.696393);ALMAGRO;COMUNA 5;1202;C1202ACA
MULTILINESTRING ((-58.4566932890911 -34.5620356604319,-58.455872306798 -34.5629889695563,-58.4550644174238 -34.563926921037,-58.4542490173556 -34.5648737401369));78;94;SENDERO SEGURO;BELGRANO R;V;2011;AV. CABILDO;1800;2000;CABILDO AV. 1800;CABILDO AV.;1800;POINT(100829.935083 107127.830084);BELGRANO;COMUNA 13;1426;C1426ABR
MULTILINESTRING ((-58.4542490173556 -34.5648737401369,-58.4552279893528 -34.5654467869719,-58.4561297621289 -34.5659747493708,-58.4570203090552 -34.5664960141074,-58.4579142723644 -34.5670193147802,-58.4579457360058 -34.5669825323147,-58.458017413328 -34.5670240628266,-58.4588884440882 -34.567545287566,-58.4596500466752 -34.5680034275495,-58.4599118335829 -34.5681593560976,-58.4603985469985 -34.5684490971698,-58.4606426771848 -34.5685891416262,-58.4609486898635 -34.5687646834081,-58.4619981614549 -34.569369861074,-58.463114481553 -34.5700233413982));79;95;SENDERO SEGURO;BELGRANO R;V;2011;LA PAMPA;2400;3200;LA PAMPA 2400;LA PAMPA;2400;POINT(100841.772153 107145.405175);BELGRANO;COMUNA 13;1428;C1428EAP
MULTILINESTRING ((-58.463114481553 -34.5700233413982,-58.4638792610752 -34.5691394248589,-58.4647002125529 -34.5681905700868,-58.465507779722 -34.567257062739));80;96;SENDERO SEGURO;BELGRANO R;V;2011;CONDE;1800;2000;CONDE 1800;CONDE;1800;POINT(100018.584915 106560.94704);BELGRANO;COMUNA 13;1426;C1426AZJ
MULTILINESTRING ((-58.465507779722 -34.567257062739,-58.4650285868305 -34.5669456185992,-58.464864978762 -34.566849278625,-58.4643960750079 -34.5665981811672,-58.4633585394895 -34.5659828824869,-58.4623242542986 -34.5653694764284,-58.4613019878367 -34.5647631746737,-58.4603469891519 -34.5641967969569,-58.4594554246944 -34.5636679502939,-58.4585661699483 -34.5631412099223,-58.4576742022377 -34.5626146741935,-58.4566932890911 -34.5620356604319));81;97;SENDERO SEGURO;BELGRANO R;V;2011;JURAMENTO;2400;3200;JURAMENTO AV. 2400;JURAMENTO AV.;2400;POINT(100619.767046 107455.974532);BELGRANO;COMUNA 13;1428;C1428DNN
MULTILINESTRING ((-58.4588884440882 -34.567545287566,-58.459664909439 -34.5666502701866,-58.4604884383324 -34.5657010208618,-58.4613019878367 -34.5647631746737,-58.4621297361293 -34.5638089138093));82;98;SENDERO SEGURO;BELGRANO R;V;2011;AV. CRAMER;1800;2100;CRAMER AV. 1800;CRAMER AV.;1800;POINT(100402.899305 106833.333485);BELGRANO;COMUNA 13;1426;C1426APD
MULTILINESTRING ((-58.4633585394895 -34.5659828824869,-58.4625506200799 -34.5669175026214));83;99;SENDERO SEGURO;BELGRANO R;V;2011;ZAPIOLA;2000;NA;ZAPIOLA 2000;ZAPIOLA;2000;POINT(100071.146848 106906.070538);BELGRANO;COMUNA 13;1428;C1428CXB
MULTILINESTRING ((-58.4625506200799 -34.5669175026214,-58.4632811025155 -34.5673508173948,-58.4635872247601 -34.5675319629735,-58.4647002125529 -34.5681905700868));84;100;SENDERO SEGURO;BELGRANO R;V;2011;ECHEVERRIA;3100;3200;ECHEVERRIA 3100;ECHEVERRIA;3100;POINT(100083.323749 106922.412938);BELGRANO;COMUNA 13;1428;C1428DSD
MULTILINESTRING ((-58.4543188625864 -34.5729940976971,-58.4533767289147 -34.573455105417,-58.4519523131046 -34.5741438204999,-58.4506068671535 -34.5749636590578,-58.4504508746233 -34.5750388579634));85;101;SENDERO SEGURO;COLEGIALES;V;2011;ZAPIOLA;900;1100;ZAPIOLA 900;ZAPIOLA;900;POINT(101189.301984 106003.55225);COLEGIALES;COMUNA 13;1426;C1426ATR
MULTILINESTRING ((-58.4543188625864 -34.5729940976971,-58.4551048755519 -34.5739994033177));86;102;SENDERO SEGURO;COLEGIALES;V;2011;VIRREY LORETO;3000;NA;LORETO, VIRREY 3000;LORETO, VIRREY;3000;POINT(100833.100962 106249.155801);COLEGIALES;COMUNA 13;1426;C1426DYD
MULTILINESTRING ((-58.454184102336 -34.5744921804341,-58.4549129179236 -34.5754284660322));87;103;SENDERO SEGURO;COLEGIALES;V;2011;ZABALA;3100;NA;ZABALA 3100;ZABALA;3100;POINT(100846.407194 106082.367961);COLEGIALES;COMUNA 13;1426;C1426DRF
MULTILINESTRING ((-58.4551048755519 -34.5739994033177,-58.454184102336 -34.5744921804341));88;104;SENDERO SEGURO;COLEGIALES;V;2011;CAP. GRAL. RAMON FREIRE;1100;NA;FREIRE, RAMON, CAP. GRAL. 1100;FREIRE, RAMON, CAP. GRAL.;1100;POINT(100854.787187 106058.079351);COLEGIALES;COMUNA 13;1426;C1426AVV
MULTILINESTRING ((-58.4549129179236 -34.5754284660322,-58.4543218023575 -34.5757082541136,-58.4532258008686 -34.5762164786798,-58.4516367522549 -34.5769029936837,-58.4514885056396 -34.5769749550199,-58.4505716870413 -34.5774199565175));89;105;SENDERO SEGURO;COLEGIALES;V;2011;CONDE;800;1000;CONDE 800;CONDE;800;POINT(101173.715745 105741.700745);COLEGIALES;COMUNA 13;1426;C1426AYP
MULTILINESTRING ((-58.4504508746233 -34.5750388579634,-58.4509742806874 -34.5760154295985,-58.4514885056396 -34.5769749550199,-58.4520099780933 -34.5779477891778,-58.4525283129596 -34.5789149162284,-58.4530206102592 -34.579833374865));90;106;SENDERO SEGURO;COLEGIALES;V;2011;PALPA;3000;3400;PALPA 3000;PALPA;3000;POINT(101188.367168 106022.986882);COLEGIALES;COMUNA 13;1426;C1426DPD
MULTILINESTRING ((-58.4530206102592 -34.579833374865,-58.4535334729496 -34.579668900562,-58.4548623254405 -34.5792427077374,-58.4553992781366 -34.57907048032,-58.4559708818933 -34.5789162813733));91;107;SENDERO SEGURO;COLEGIALES;V;2011;AV. ALVAREZ THOMAS;800;900;ALVAREZ THOMAS AV. 800;ALVAREZ THOMAS AV.;800;POINT(100901.586301 105488.426668);CHACARITA;COMUNA 15;1427;C1427CCU
MULTILINESTRING ((-58.4366161614609 -34.6042834190842,-58.4353007033833 -34.6036554527307,-58.435148359612 -34.6035749712168,-58.4339139196582 -34.6029596630065,-58.4338657209338 -34.602935847909,-58.4333340890232 -34.6026734576746,-58.4331418064901 -34.6025786189248,-58.4322406051487 -34.602133802967,-58.4321984682031 -34.602072452085));92;109;SENDERO SEGURO;PARQUE CENTENARIO;V;2011;AV. ANGEL GALLARDO;1;200;GALLARDO, ANGEL AV. 1;GALLARDO, ANGEL AV.;1;POINT(102841.795015 103011.133459);VILLA CRESPO;COMUNA 15;1405;C1405DJA
MULTILINESTRING ((-58.4321984682031 -34.602072452085,-58.4318949180359 -34.6020802634515,-58.4310693293737 -34.6021645624791,-58.4301707449631 -34.6022563015526));93;110;SENDERO SEGURO;PARQUE CENTENARIO;V;2011;AV. CORRIENTES;4600;NA;CORRIENTES AV. 4600;CORRIENTES AV.;4600;POINT(103051.813732 102985.400651);ALMAGRO;COMUNA 5;1195;C1195AAR
MULTILINESTRING ((-58.4301707449631 -34.6022563015526,-58.4304106634591 -34.6040348831653));95;112;SENDERO SEGURO;PARQUE CENTENARIO;V;2011;LAMBARE;900;NA;LAMBARE 900;LAMBARE;900;POINT(103011.235377 102789.278077);ALMAGRO;COMUNA 5;1185;C1185ABB
MULTILINESTRING ((-58.4315294891311 -34.6049437997883,-58.4323301474395 -34.6039281888892,-58.4333356702689 -34.6026709874146));96;114;SENDERO SEGURO;PARQUE CENTENARIO;V;2011;RIO DE JANEIRO;900;1000;RIO DE JANEIRO 900;RIO DE JANEIRO;900;POINT(102918.168629 102683.389262);CABALLITO;COMUNA 6;1405;C1405CCN
MULTILINESTRING ((-58.4315294891311 -34.6049437997883,-58.432631625348 -34.6054347285442,-58.4330261286218 -34.6056321426544));98;116;SENDERO SEGURO;PARQUE CENTENARIO;V;2011;FRANKLIN;1;NA;FRANKLIN 1;FRANKLIN;1;POINT(102894.001386 102693.727423);CABALLITO;COMUNA 6;1405;C1405DDA
